,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url,all,BirthCoords,BirthLat,BirthLon
3170,1687,"Naghi Bey, Mohammed",Male,1888–1956,1888.0,1956.0,"Al-Iskandariyah, Misr","Al-Qahirah, Misr",http://www.tate.org.uk/art/artists/mohammed-naghi-bey-1687,,"(31.2000924, 29.9187387)",31.2000924,29.9187387
3171,2150,"Willing, Victor",Male,1928–1988,1928.0,1988.0,"Al-Iskandariyah, Misr","London, United Kingdom",http://www.tate.org.uk/art/artists/victor-willing-2150,,"(31.2000924, 29.9187387)",31.2000924,29.9187387
3172,1688,"Nash, David",Male,born 1945,1945.0,,"Esher, United Kingdom",,http://www.tate.org.uk/art/artists/david-nash-1688,,"(51.369487, -0.365927)",51.369487,-0.365927
3173,2017,"Sydney, Berenice",Female,1944–1983,1944.0,1983.0,"Esher, United Kingdom",,http://www.tate.org.uk/art/artists/berenice-sydney-2017,,"(51.369487, -0.365927)",51.369487,-0.365927
3174,1691,"Nauman, Bruce",Male,born 1941,1941.0,,"Fort Wayne, United States",,http://www.tate.org.uk/art/artists/bruce-nauman-1691,,"(41.079273, -85.1393513)",41.079273,-85.1393513
3175,1692,"Neagu, Paul",Male,1938–2004,1938.0,2004.0,"Bucuresti, România",,http://www.tate.org.uk/art/artists/paul-neagu-1692,,"(44.4267674, 26.1025384)",44.4267674,26.1025384
3176,10207,"Perjovschi, Dan",Male,born 1961,1961.0,,"Bucuresti, România",,http://www.tate.org.uk/art/artists/dan-perjovschi-10207,,"(44.4267674, 26.1025384)",44.4267674,26.1025384
3177,16798,"Sterne, Hedda",Female,1910–2011,1910.0,2011.0,"Bucuresti, România","Manhattan Island, United States",http://www.tate.org.uk/art/artists/hedda-sterne-16798,,"(44.4267674, 26.1025384)",44.4267674,26.1025384
3178,1694,"Neiland, Brendan",Male,born 1941,1941.0,,"Lichfield, United Kingdom",,http://www.tate.org.uk/art/artists/brendan-neiland-1694,,"(52.681602, -1.831672)",52.681602,-1.831672
3179,4020,"Nelson, Mike",Male,born 1967,1967.0,,"Loughborough, United Kingdom",,http://www.tate.org.uk/art/artists/mike-nelson-4020,,"(52.772099, -1.206166)",52.772099,-1.206166
3180,5459,"Neshat, Shirin",Female,born 1957,1957.0,,"Qazvin, Îran",,http://www.tate.org.uk/art/artists/shirin-neshat-5459,,"(36.2736589, 49.998236)",36.2736589,49.998236
3181,16467,"Shahroudy Farmanfarmaian, Monir",Female,born 1924,1924.0,,"Qazvin, Îran",,http://www.tate.org.uk/art/artists/monir-shahroudy-farmanfarmaian-16467,,"(36.2736589, 49.998236)",36.2736589,49.998236
3182,2650,"Newcomb, Mary",Female,1922–2008,1922.0,2008.0,"Harrow on the Hill, United Kingdom",,http://www.tate.org.uk/art/artists/mary-newcomb-2650,,"(51.5706321, -0.3396363)",51.5706321,-0.3396363
3183,6664,"Newman, John",Male,,,,"Flushing, United States",,http://www.tate.org.uk/art/artists/john-newman-6664,,"(40.7674987, -73.833079)",40.7674987,-73.833079
3184,399,"Newton, Gilbert Stuart",Male,1794–1835,1794.0,1835.0,"Halifax, Canada","London, United Kingdom",http://www.tate.org.uk/art/artists/gilbert-stuart-newton-399,,"(44.64876350000001, -63.5752387)",44.64876350000001,-63.5752387
3185,1702,"Nicholson, Ben, OM",Male,1894–1982,1894.0,1982.0,"Denham, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/ben-nicholson-om-1702,,"(51.56958299999999, -0.493857)",51.56958299999999,-0.493857
3186,17882,"Nicholson, Isaac",Male,1789–1848,1789.0,1848.0,Melmerby,,http://www.tate.org.uk/art/artists/isaac-nicholson-17882,,"(54.731336, -2.5994201)",54.731336,-2.5994201
3187,1703,"Nicholson, Sir William",Male,1872–1949,1872.0,1949.0,"Newark-on-Trent, United Kingdom","Berkshire, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-nicholson-1703,,"(53.0700391, -0.80657)",53.0700391,-0.80657
3188,1705,"Nimptsch, Uli",Male,1897–1977,1897.0,1977.0,"Charlottenburg, Deutschland",,http://www.tate.org.uk/art/artists/uli-nimptsch-1705,,"(52.5166023, 13.3041054)",52.5166023,13.3041054
